NUM,Sci_WellID,ObjectLabelsFound,Sci_SampleID,Timepoint,Time,Censored,Event,MeasurementTag,0,15,29,39,53,63,87,111,161
216,A3,20,EV_DrpK38A,1,0,FALSE,TRUE,RFP,4.627638391,6.36981536,NA,NA,NA,NA,NA,NA,NA
217,A3,21,EV_DrpK38A,1,0,FALSE,TRUE,GFP,670.8505393,NA,NA,NA,NA,NA,NA,NA,NA
218,A3,21,EV_DrpK38A,1,0,FALSE,TRUE,RFP,4.604006163,NA,NA,NA,NA,NA,NA,NA,NA
225,A3,25,EV_DrpK38A,1,0,FALSE,TRUE,GFP,339.1523297,NA,NA,NA,NA,NA,NA,NA,NA
226,A3,25,EV_DrpK38A,1,0,FALSE,TRUE,RFP,4.164874552,NA,NA,NA,NA,NA,NA,NA,NA
243,A3,33,EV_DrpK38A,1,0,FALSE,TRUE,GFP,780.0301142,895.1811077,890.94,NA,NA,NA,NA,NA,NA
244,A3,33,EV_DrpK38A,1,0,FALSE,TRUE,RFP,4.812045691,7.347604485,6.542105263,NA,NA,NA,NA,NA,NA
247,A3,35,EV_DrpK38A,1,0,FALSE,TRUE,GFP,629.7918216,882.8636582,NA,NA,NA,NA,NA,NA,NA
248,A3,35,EV_DrpK38A,1,0,FALSE,TRUE,RFP,5.382368561,7.126740278,NA,NA,NA,NA,NA,NA,NA
251,A3,37,EV_DrpK38A,1,0,FALSE,TRUE,GFP,809.4920071,1008.134009,NA,NA,NA,NA,NA,NA,NA
252,A3,37,EV_DrpK38A,1,0,FALSE,TRUE,RFP,5.066311427,7.311936937,NA,NA,NA,NA,NA,NA,NA
261,A3,41,EV_DrpK38A,1,0,FALSE,TRUE,GFP,565.377193,NA,NA,NA,NA,NA,NA,NA,NA
262,A3,41,EV_DrpK38A,1,0,FALSE,TRUE,RFP,5.321052632,NA,NA,NA,NA,NA,NA,NA,NA
313,A4,7,EV_Nrf,1,0,FALSE,TRUE,GFP,277.4448,NA,NA,NA,NA,NA,NA,NA,NA
314,A4,7,EV_Nrf,1,0,FALSE,TRUE,RFP,4.0912,NA,NA,NA,NA,NA,NA,NA,NA
283,A4,13,EV_Nrf,1,0,FALSE,TRUE,GFP,405.8278146,NA,NA,NA,NA,NA,NA,NA,NA
284,A4,13,EV_Nrf,1,0,FALSE,TRUE,RFP,6.129801325,NA,NA,NA,NA,NA,NA,NA,NA
